This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:  2602896
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:   183883

Total number of variables............................:    30328
                     variables with only lower bounds:     3200
                variables with lower and upper bounds:     3192
                     variables with only upper bounds:        0
Total number of equality constraints.................:    27136
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  45  1.2418165e+03 6.86e-06 1.24e-01  -2.5 2.59e-02   0.7 1.00e+00 1.00e+00f  1
  46  1.1206658e+03 7.17e-05 1.27e-01  -2.5 7.92e-02   0.2 1.00e+00 1.00e+00f  1
  47  7.6067695e+02 1.24e-04 1.23e-01  -2.5 2.30e-01  -0.3 1.00e+00 1.00e+00f  1
  48  2.8807262e+02 7.61e-05 2.72e+00  -2.5 6.36e-01  -0.8 1.00e+00 4.69e-01f  1
  49  1.0640707e+02 1.57e-03 6.06e+01  -2.5 9.06e-01  -1.2 1.00e+00 1.46e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  7.4955882e+01 6.15e-02 5.12e+01  -2.5 9.84e-01  -1.7 6.88e-01 3.45e-01f  1
  51  6.3737138e+01 4.04e-02 1.91e+02  -2.5 4.23e-01  -1.3 5.61e-01 4.47e-01f  1
  52  6.3993834e+01 3.97e-02 4.93e+01  -2.5 1.58e+00  -0.9 7.94e-02 1.80e-02h  3
  53  5.7050763e+01 1.71e-02 1.90e+02  -2.5 1.78e-01  -0.4 4.88e-01 6.25e-01h  1
  54  5.8259439e+01 1.87e-02 2.19e+01  -2.5 2.88e+00  -0.9 3.12e-02 3.39e-02h  2
  55  5.7396465e+01 1.68e-02 2.00e+01  -2.5 2.34e-01  -0.5 8.90e-02 9.02e-02h  1
  56  5.3035232e+01 6.84e-03 1.90e+02  -2.5 6.94e-02  -0.1 1.00e+00 1.00e+00f  1
  57  5.1085387e+01 6.42e-03 1.20e+02  -2.5 1.95e-01  -0.5 1.73e-01 3.68e-01f  1
  58  5.1226623e+01 1.56e-03 1.58e+02  -2.5 1.52e-02   0.8 1.00e+00 7.37e-01h  1
  59  5.1264176e+01 2.16e-05 7.75e+00  -2.5 4.41e-03   2.1 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  5.1249264e+01 8.85e-06 1.24e-01  -2.5 2.03e-03   1.7 1.00e+00 1.00e+00h  1
  61  5.1200141e+01 2.72e-05 6.10e-02  -2.5 4.02e-03   1.2 1.00e+00 1.00e+00h  1
  62  5.1084351e+01 8.46e-05 4.42e-02  -2.5 8.70e-03   0.7 1.00e+00 1.00e+00h  1
  63  5.0834503e+01 3.67e-04 1.38e-01  -2.5 1.94e-02   0.2 1.00e+00 1.00e+00h  1
  64  5.0306660e+01 1.66e-03 6.03e-01  -2.5 4.31e-02  -0.3 1.00e+00 1.00e+00h  1
  65  4.9363577e+01 2.93e-03 1.29e+00  -2.5 7.31e-02  -0.7 1.00e+00 1.00e+00h  1
  66  4.8222123e+01 6.48e-03 1.90e+02  -2.5 1.26e-01  -1.2 1.00e+00 1.00e+00h  1
  67  4.8715674e+01 6.43e-03 6.52e+01  -2.5 8.54e-01  -0.8 1.19e-01 8.96e-03h  5
  68  4.8161042e+01 4.33e-03 1.89e+02  -2.5 1.16e-01  -1.3 1.00e+00 3.95e-01h  2
  69  4.8730744e+01 4.32e-03 4.21e+01  -2.5 1.15e+00  -0.8 8.90e-02 1.41e-02h  4
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  4.8547331e+01 2.11e-04 1.90e+02  -2.5 1.87e-02  -0.4 1.00e+00 1.00e+00h  1
  71  4.7847577e+01 3.37e-03 2.30e+02  -2.5 9.80e-02  -0.9 1.00e+00 5.00e-01f  2
  72  4.8659853e+01 1.71e-03 1.47e+02  -2.5 3.20e-02   1.3 5.99e-01 5.42e-01h  1
  73  4.7841186e+01 2.97e-03 1.33e+02  -2.5 2.46e-01   0.9 5.91e-02 9.12e-02f  1
  74  4.7768024e+01 2.84e-03 1.27e+02  -2.5 4.11e-02   1.3 7.11e-02 4.70e-02f  1
  75  4.7824729e+01 2.91e-03 8.66e+01  -2.5 2.73e-01   0.8 4.49e-03 2.40e-02h  1
  76  4.7759186e+01 1.69e-03 4.94e+01  -2.5 1.20e-02   1.2 2.12e-01 4.25e-01f  1
  77  4.7747252e+01 1.30e-03 3.67e+01  -2.5 2.05e-02   0.8 4.40e-01 2.59e-01f  1
  78  4.8064922e+01 1.69e-05 1.62e+00  -2.5 4.28e-03   1.2 1.00e+00 1.00e+00h  1
  79  4.8090334e+01 8.40e-06 1.33e-01  -2.5 1.64e-03   0.7 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  4.8050228e+01 1.34e-05 1.50e-02  -2.5 3.42e-03   0.2 1.00e+00 1.00e+00h  1
  81  2.1316943e+01 5.01e-04 1.15e+01  -3.8 3.24e-02  -0.2 7.43e-01 8.95e-01f  1
  82  1.8459448e+01 7.18e-04 1.14e+01  -3.8 7.82e-02  -0.7 5.16e-01 4.23e-01f  1
  83  1.7182512e+01 2.73e-03 7.03e+00  -3.8 3.23e-01  -1.2 2.39e-01 2.58e-01f  1
  84  1.5705887e+01 1.99e-03 7.02e+00  -3.8 8.96e-02  -0.8 5.96e-01 4.83e-01h  1
  85  1.4561273e+01 6.30e-04 5.72e+00  -3.8 3.47e-02  -0.3 5.58e-01 8.38e-01h  1
  86  1.4388008e+01 5.77e-04 2.79e+01  -3.8 6.06e-02  -0.8 5.65e-01 2.81e-01h  1
  87  1.4114953e+01 3.55e-04 5.57e-02  -3.8 2.95e-02  -0.4 1.00e+00 1.00e+00f  1
  88  1.3975690e+01 5.81e-04 6.78e+00  -3.8 7.71e-02  -0.9 4.54e-01 3.47e-01h  1
  89  1.3836424e+01 4.53e-04 4.88e-02  -3.8 3.35e-02  -0.4 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  1.3707813e+01 7.41e-04 1.03e+01  -3.8 1.04e-01  -0.9 6.41e-01 3.18e-01h  1
  91  1.3626262e+01 9.35e-04 1.63e+01  -3.8 5.34e-01  -1.4 1.81e-01 5.51e-02h  1
  92  1.3528684e+01 5.69e-04 1.12e+01  -3.8 6.70e-02  -1.0 5.15e-01 3.40e-01h  1
  93  1.3347677e+01 1.45e-03 9.10e+00  -3.8 2.44e-01  -1.4 1.79e-01 2.02e-01f  1
  94  1.3265729e+01 1.15e-03 6.20e+00  -3.8 6.15e-02  -1.0 2.68e-01 4.18e-01h  1
  95  1.3224175e+01 2.63e-03 6.38e+00  -3.8 1.87e+00  -1.5 5.75e-02 5.06e-02h  1
  96  1.3188906e+01 2.24e-03 1.15e+01  -3.8 9.07e-02  -1.1 5.13e-01 1.87e-01h  1
  97  1.3138151e+01 3.27e-03 1.04e+01  -3.8 3.69e-01  -1.6 1.85e-01 1.59e-01h  1
  98  1.3027052e+01 2.78e-03 9.50e+00  -3.8 1.15e-01  -1.1 3.06e-01 5.91e-01h  1
  99  1.2883982e+01 1.65e-03 1.58e+00  -3.8 6.51e-02  -0.7 8.93e-01 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  1.2846701e+01 1.80e-03 5.88e+00  -3.8 2.34e-01  -1.2 4.47e-01 1.44e-01h  1
 101  1.2810774e+01 2.05e-03 1.47e+01  -3.8 2.86e-01  -1.7 2.20e-01 1.10e-01h  1
 102  1.2765141e+01 2.88e-03 9.85e+00  -3.8 1.96e-01  -1.2 3.25e-01 2.72e-01h  1
 103  1.2735493e+01 3.96e-03 9.95e+00  -3.8 5.05e-01  -1.7 1.31e-01 1.05e-01h  1
 104  1.2681548e+01 2.34e-03 1.04e+01  -3.8 5.91e-02  -1.3 2.60e-01 4.96e-01h  1
 105  1.2675521e+01 4.99e-03 9.95e+00  -3.8 1.47e+00  -1.8 1.96e-02 5.12e-02h  1
 106  1.2609294e+01 2.03e-03 1.40e+01  -3.8 6.16e-02  -1.3 3.77e-01 5.91e-01f  1
 107  1.2567059e+01 2.08e-03 2.70e-01  -3.8 6.95e-02  -0.9 1.00e+00 9.85e-01f  1
 108  1.2529021e+01 2.35e-03 9.35e+00  -3.8 1.34e-01  -1.4 2.36e-01 4.95e-01f  1
 109  1.2477057e+01 1.91e-03 6.49e+00  -3.8 6.98e-02  -1.0 4.96e-01 8.19e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  1.2471115e+01 2.04e-03 5.88e+00  -3.8 8.29e-01  -1.4 1.08e-01 4.80e-02h  1
 111  1.2425053e+01 3.08e-03 1.25e+01  -3.8 1.23e-01  -1.0 3.38e-01 6.41e-01f  1
 112  1.2414119e+01 6.67e-03 1.32e+01  -3.8 2.85e+01  -1.5 4.62e-03 3.06e-03h  1
 113  1.2347261e+01 6.16e-03 1.25e+01  -3.8 2.38e-01  -1.1 5.31e-01 1.95e-01h  1
 114  1.2272506e+01 5.66e-03 1.13e+01  -3.8 2.56e-01  -1.5 1.42e-01 8.16e-02h  1
 115  1.2121131e+01 3.70e-03 1.98e+01  -3.8 1.16e-01  -1.1 1.92e-01 4.21e-01f  1
 116  1.2102165e+01 3.29e-03 1.89e+02  -3.8 2.12e-01  -1.6 1.78e-01 1.09e-01f  1
 117  1.2098599e+01 3.30e-03 1.87e+01  -3.8 9.98e-01  -1.2 3.79e-02 1.18e-02h  2
 118  1.2071805e+01 2.65e-03 1.87e+02  -3.8 9.02e-02  -0.7 8.54e-01 4.09e-01h  1
 119  1.2087644e+01 2.65e-03 1.26e+01  -3.8 4.41e-01  -1.2 3.55e-02 3.26e-02h  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  1.2135240e+01 8.31e-04 4.30e+00  -3.8 1.45e-02   0.1 1.00e+00 6.96e-01h  1
 121  1.2149149e+01 2.85e-04 2.25e+00  -3.8 2.65e-02  -0.4 1.00e+00 1.00e+00h  1
 122  1.2140128e+01 5.59e-04 4.45e+00  -3.8 4.00e-02  -0.8 5.66e-01 8.18e-01h  1
 123  1.2121775e+01 2.46e-03 4.08e+00  -3.8 2.89e-01  -1.3 1.83e-01 2.07e-01f  2
